path=maps/error.vmap_c crc=28F1BFC2 size=2.73KB size_in_bytes=2800
path=maps/error/default_ents.vents_c crc=852FFC7D size=1.51KB size_in_bytes=1548
path=maps/error/los.bin crc=9D63BAB3 size=267.47KB size_in_bytes=273892
path=maps/error/world.vrman_c crc=B3501D11 size=733B size_in_bytes=733
path=maps/error/world.vwrld_c crc=2114A156 size=1.93KB size_in_bytes=1980
path=maps/error/worldnode000.vrman_c crc=EA261F8B size=650B size_in_bytes=650
path=maps/error/worldnode000.vwnod_c crc=B4557675 size=3.59KB size_in_bytes=3680
path=maps/error/worldnode000_mesh0.vmdl_c crc=BB538762 size=2.32KB size_in_bytes=2378
path=maps/error/worldnode000_mesh0.vmesh_c crc=097B9052 size=113.72KB size_in_bytes=116448
path=maps/error/worldnode000_mesh0.vpram_c crc=6A719B70 size=1.53KB size_in_bytes=1568
path=maps/error/worldnode000_mesh_base.vmdl_c crc=BB8EF3F9 size=3.61KB size_in_bytes=3692
path=maps/error/worldnode000_mesh_base.vmesh_c crc=53C11953 size=113.80KB size_in_bytes=116528
path=maps/error/world_environmentmaps.vwenvmap_c crc=EC06A402 size=680B size_in_bytes=680
path=maps/error/world_lighting.vwrlt_c crc=9AE497A6 size=1.34KB size_in_bytes=1376
path=maps/error/world_physics.vphys_c crc=130AF87A size=106.94KB size_in_bytes=109504
path=maps/error/world_physics.vrman_c crc=DE13A7B3 size=651B size_in_bytes=651
path=maps/error/world_visibility.vvis_c crc=E27D9BD8 size=62.93KB size_in_bytes=64444
