path=maps/de_ancient.nav crc=0DD0C846 size=362.55KB size_in_bytes=371251
path=maps/de_ancient.vmap_c crc=C0F30D0B size=90.64KB size_in_bytes=92816
path=maps/de_ancient/baked_bomb_damage.vdata_c crc=189874E8 size=600.41KB size_in_bytes=614815
path=maps/de_ancient/cubemaps/env_cubemap_array.vtex_c crc=DE70FE55 size=41.01MB size_in_bytes=43001912
path=maps/de_ancient/entities/default_ents.vents_c crc=DD9D397F size=62.14KB size_in_bytes=63633
path=maps/de_ancient/entities/unnamed_28_2.vmdl_c crc=80DA65F0 size=3.89KB size_in_bytes=3984
path=maps/de_ancient/entities/unnamed_2_32938_11523.vmdl_c crc=11E7A31D size=6.81KB size_in_bytes=6978
path=maps/de_ancient/entities/unnamed_2_32938_12094.vmdl_c crc=41741F18 size=7.86KB size_in_bytes=8044
path=maps/de_ancient/entities/unnamed_2_32938_12255.vmdl_c crc=6261BB5B size=4.00KB size_in_bytes=4092
path=maps/de_ancient/entities/unnamed_2_32938_33902.vmdl_c crc=4920711D size=6.87KB size_in_bytes=7036
path=maps/de_ancient/entities/unnamed_2_32938_38444.vmdl_c crc=DC81482E size=7.87KB size_in_bytes=8060
path=maps/de_ancient/entities/unnamed_2_32938_41201.vmdl_c crc=8F589166 size=4.20KB size_in_bytes=4300
path=maps/de_ancient/entities/unnamed_2_32938_41207.vmdl_c crc=FD244D82 size=4.26KB size_in_bytes=4364
path=maps/de_ancient/entities/unnamed_2_32941_1719.vmdl_c crc=8F3DE6CF size=4.37KB size_in_bytes=4472
path=maps/de_ancient/entities/unnamed_2_32941_1721.vmdl_c crc=91D5FB43 size=4.76KB size_in_bytes=4872
path=maps/de_ancient/entities/unnamed_2_32941_1723.vmdl_c crc=F4587B8B size=4.04KB size_in_bytes=4136
path=maps/de_ancient/entities/unnamed_2_32941_1725.vmdl_c crc=979C1BED size=4.93KB size_in_bytes=5048
path=maps/de_ancient/entities/unnamed_2_32941_1727.vmdl_c crc=527612DB size=4.02KB size_in_bytes=4120
path=maps/de_ancient/entities/unnamed_2_32941_1729.vmdl_c crc=4CF5BDCE size=4.32KB size_in_bytes=4424
path=maps/de_ancient/entities/unnamed_2_32941_1731.vmdl_c crc=3B1564EE size=4.55KB size_in_bytes=4664
path=maps/de_ancient/entities/unnamed_2_32941_1733.vmdl_c crc=42A1D28A size=4.05KB size_in_bytes=4152
path=maps/de_ancient/entities/unnamed_2_32941_1735.vmdl_c crc=B997901C size=4.57KB size_in_bytes=4680
path=maps/de_ancient/entities/unnamed_2_32941_1737.vmdl_c crc=7BCA4B99 size=4.60KB size_in_bytes=4712
path=maps/de_ancient/entities/unnamed_2_32941_1739.vmdl_c crc=597FB0CB size=4.62KB size_in_bytes=4728
path=maps/de_ancient/entities/unnamed_2_32941_1741.vmdl_c crc=DC5536C9 size=4.48KB size_in_bytes=4584
path=maps/de_ancient/entities/unnamed_2_32941_1743.vmdl_c crc=EBD847B8 size=4.59KB size_in_bytes=4696
path=maps/de_ancient/entities/unnamed_2_32941_1745.vmdl_c crc=D3321918 size=4.05KB size_in_bytes=4152
path=maps/de_ancient/entities/unnamed_2_32941_1747.vmdl_c crc=98786E6B size=3.98KB size_in_bytes=4072
path=maps/de_ancient/entities/unnamed_2_32941_1749.vmdl_c crc=40D12433 size=4.87KB size_in_bytes=4984
path=maps/de_ancient/entities/unnamed_2_32941_1752.vmdl_c crc=1F05DDAF size=4.48KB size_in_bytes=4584
path=maps/de_ancient/entities/unnamed_2_32941_2.vmdl_c crc=E15AAD33 size=3.93KB size_in_bytes=4024
path=maps/de_ancient/entities/unnamed_2_32941_83.vmdl_c crc=15024325 size=4.73KB size_in_bytes=4840
path=maps/de_ancient/entities/unnamed_2_33005.vmdl_c crc=2E4901B0 size=4.00KB size_in_bytes=4100
path=maps/de_ancient/entities/unnamed_2_33007.vmdl_c crc=6D047EB7 size=3.97KB size_in_bytes=4068
path=maps/de_ancient/entities/unnamed_2_33011.vmdl_c crc=502BC61D size=3.99KB size_in_bytes=4084
path=maps/de_ancient/entities/unnamed_2_33013.vmdl_c crc=0B6931C0 size=4.77KB size_in_bytes=4884
path=maps/de_ancient/lightmaps/debug_chart_color.vtex_c crc=4991668D size=2.24MB size_in_bytes=2352239
